InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,customer_known,is_return,revenue
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-01-12 08:34:00,9.95,13047,UNITED KINGDOM,True,False,19.9
536370,POST,POSTAGE,3,2010-01-12 08:45:00,18.0,12583,FRANCE,True,False,54.0
536374,21258,VICTORIAN SEWING BOX LARGE,32,2010-01-12 09:09:00,10.95,15100,UNITED KINGDOM,True,False,350.4
C536379,D,DISCOUNT,-1,2010-01-12 09:41:00,27.5,14527,UNITED KINGDOM,True,True,-27.5
536382,22839,3 TIER CAKE TIN GREEN AND CREAM,2,2010-01-12 09:45:00,14.95,16098,UNITED KINGDOM,True,False,29.9
536382,22838,3 TIER CAKE TIN RED AND CREAM,2,2010-01-12 09:45:00,14.95,16098,UNITED KINGDOM,True,False,29.9
536382,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,2010-01-12 09:45:00,16.95,16098,UNITED KINGDOM,True,False,67.8
536384,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,2010-01-12 09:53:00,12.75,18074,UNITED KINGDOM,True,False,25.5
536384,22424,ENAMEL BREAD BIN CREAM,8,2010-01-12 09:53:00,10.95,18074,UNITED KINGDOM,True,False,87.6
536385,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,2010-01-12 09:56:00,19.95,17420,UNITED KINGDOM,True,False,19.95
536385,22168,ORGANISER WOOD ANTIQUE WHITE,2,2010-01-12 09:56:00,8.5,17420,UNITED KINGDOM,True,False,17.0
536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,2010-01-12 10:03:00,8.5,12431,AUSTRALIA,True,False,51.0
536389,22193,RED DINER WALL CLOCK,2,2010-01-12 10:03:00,8.5,12431,AUSTRALIA,True,False,17.0
536389,22192,BLUE DINER WALL CLOCK,2,2010-01-12 10:03:00,8.5,12431,AUSTRALIA,True,False,17.0
536389,22191,IVORY DINER WALL CLOCK,2,2010-01-12 10:03:00,8.5,12431,AUSTRALIA,True,False,17.0
536390,22941,CHRISTMAS LIGHTS 10 REINDEER,2,2010-01-12 10:19:00,8.5,17511,UNITED KINGDOM,True,False,17.0
536390,22968,ROSE COTTAGE KEEPSAKE BOX,8,2010-01-12 10:19:00,8.5,17511,UNITED KINGDOM,True,False,68.0
536392,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,2010-01-12 10:29:00,165.0,13705,UNITED KINGDOM,True,False,165.0
536393,22180,RETROSPOT LAMP,8,2010-01-12 10:37:00,9.95,13747,UNITED KINGDOM,True,False,79.6
536396,22803,IVORY EMBROIDERED QUILT,2,2010-01-12 10:51:00,35.75,17850,UNITED KINGDOM,True,False,71.5
536398,22752,SET 7 BABUSHKA NESTING BOXES,6,2010-01-12 10:52:00,8.5,13448,UNITED KINGDOM,True,False,51.0
536401,22767,TRIPLE PHOTO FRAME CORNICE,2,2010-01-12 11:21:00,9.95,15862,UNITED KINGDOM,True,False,19.9
536401,22768,FAMILY PHOTO FRAME CORNICE,1,2010-01-12 11:21:00,9.95,15862,UNITED KINGDOM,True,False,9.95
536401,22848,BREAD BIN DINER STYLE PINK,1,2010-01-12 11:21:00,16.95,15862,UNITED KINGDOM,True,False,16.95
536401,47570B,TEA TIME TABLE CLOTH,1,2010-01-12 11:21:00,10.65,15862,UNITED KINGDOM,True,False,10.65
536403,POST,POSTAGE,1,2010-01-12 11:27:00,15.0,12791,NETHERLANDS,True,False,15.0
